name,links
batuque,https://fmteam.fr/comics/batuque
berserk,https://fmteam.fr/comics/berserk
blue-lock,https://fmteam.fr/comics/blue-lock
blue-lock-episode-nagi,https://fmteam.fr/comics/blue-lock-episode-nagi
bouncer,https://fmteam.fr/comics/bouncer
choujin-x,https://fmteam.fr/comics/choujin-x
dgray-man,https://fmteam.fr/comics/dgray-man
dai-dark,https://fmteam.fr/comics/dai-dark
dandadan,https://fmteam.fr/comics/dandadan
hajime-no-ippo,https://fmteam.fr/comics/hajime-no-ippo
kamen-byoto,https://fmteam.fr/comics/kamen-byoto
kingdom,https://fmteam.fr/comics/kingdom
one-punch-man,https://fmteam.fr/comics/one-punch-man
real,https://fmteam.fr/comics/real
the-fable-second-contact,https://fmteam.fr/comics/the-fable-second-contact
vinland-saga,https://fmteam.fr/comics/vinland-saga
yomi-no-tsugai,https://fmteam.fr/comics/yomi-no-tsugai
yomotsuhegui,https://fmteam.fr/comics/yomotsuhegui
