MangaName,MangaLink,n_chapter
20-seiki-shounen,https://anime-sama.me/manga/20-seiki-shounen/,0
academys-genius-swordmaster,https://anime-sama.me/manga/academys-genius-swordmaster/,0
ao-ashi,https://anime-sama.me/manga/ao-ashi/,0
ayashimon,https://anime-sama.me/manga/ayashimon/,0
berserk,https://anime-sama.me/manga/berserk/,0
bizarre-restaurant,https://anime-sama.me/manga/bizarre-restaurant/,0
black-clover,https://anime-sama.me/manga/black-clover/,0
bleach,https://anime-sama.me/manga/bleach/,0
blue-box,https://anime-sama.me/manga/blue-box/,0
blue-exorcist,https://anime-sama.me/manga/blue-exorcist/,0
blue-lock,https://anime-sama.me/manga/blue-lock/,0
blue-lock-episode-nagi,https://anime-sama.me/manga/blue-lock-episode-nagi/,0
blue-period,https://anime-sama.me/manga/blue-period/,0
boku-no-hero-academia,https://anime-sama.me/manga/boku-no-hero-academia/,0
boruto-naruto-next-generations,https://anime-sama.me/manga/boruto-naruto-next-generations/,0
boruto-two-blue-vortex,https://anime-sama.me/manga/boruto-two-blue-vortex/,0
bouncer,https://anime-sama.me/manga/bouncer/,0
chainsaw-man,https://anime-sama.me/manga/chainsaw-man/,0
choujin-x,https://anime-sama.me/manga/choujin-x/,0
classroom-of-the-elite,https://anime-sama.me/manga/classroom-of-the-elite/,0
dai-dark,https://anime-sama.me/manga/dai-dark/,0
damn-reincarnation,https://anime-sama.me/manga/damn-reincarnation/,0
dandadan,https://anime-sama.me/manga/dandadan/,0
danmachi,https://anime-sama.me/manga/danmachi/,0
demon-slave,https://anime-sama.me/manga/demon-slave/,0
dr-stone,https://anime-sama.me/manga/dr-stone/,0
dragon-ball-chou,https://anime-sama.me/manga/dragon-ball-chou/,0
edens-zero,https://anime-sama.me/manga/edens-zero/,0
eleceed,https://anime-sama.me/manga/eleceed/,0
enen-no-shouboutai,https://anime-sama.me/manga/enen-no-shouboutai/,0
fairy-tail,https://anime-sama.me/manga/fairy-tail/,0
fight-class-3,https://anime-sama.me/manga/fight-class-3/,0
four-knights-of-the-apocalypse,https://anime-sama.me/manga/four-knights-of-the-apocalypse/,0
gachi-akuta,https://anime-sama.me/manga/gachi-akuta/,0
gamaran,https://anime-sama.me/manga/gamaran/,0
gigantis,https://anime-sama.me/manga/gigantis/,0
goblin-slayer,https://anime-sama.me/manga/goblin-slayer/,0
hajime-no-ippo,https://anime-sama.me/manga/hajime-no-ippo/,0
hells-paradise,https://anime-sama.me/manga/hells-paradise/,0
horimiya,https://anime-sama.me/manga/horimiya/,0
hunter-x-hunter,https://anime-sama.me/manga/hunter-x-hunter/,0
im-the-max-level-newbie-scan-vf,https://anime-sama.me/manga/im-the-max-level-newbie-scan-vf/,0
jagaaaaaan,https://anime-sama.me/manga/jagaaaaaan/,0
jujutsu-kaisen,https://anime-sama.me/manga/jujutsu-kaisen/,0
juujika-no-rokunin,https://anime-sama.me/manga/juujika-no-rokunin/,0
kagurabachi,https://anime-sama.me/manga/kagurabachi/,0
kaiju-no-8,https://anime-sama.me/manga/kaiju-no-8/,0
kanojo-mo-kanojo,https://anime-sama.me/manga/kanojo-mo-kanojo/,0
kengan-omega,https://anime-sama.me/manga/kengan-omega/,0
kimetsu-no-yaiba,https://anime-sama.me/manga/kimetsu-no-yaiba/,0
kingdom,https://anime-sama.me/manga/kingdom/,0
les-carnets-de-lapothicaire,https://anime-sama.me/manga/les-carnets-de-lapothicaire/,0
lookism,https://anime-sama.me/manga/lookism/,0
the-devil-butler,https://anime-sama.me/manga/the-devil-butler/,0
martial-peak,https://anime-sama.me/manga/martial-peak/,0
mashle,https://anime-sama.me/manga/mashle/,0
mob-psycho-100,https://anime-sama.me/manga/mob-psycho-100/,0
mushoku-tensei-isekai-ittara-honki-dasu,https://anime-sama.me/manga/mushoku-tensei-isekai-ittara-honki-dasu/,0
my-wife-is-a-demon-queen,https://anime-sama.me/manga/my-wife-is-a-demon-queen/,0
nano-machine,https://anime-sama.me/manga/nano-machine/,0
naruto,https://anime-sama.me/manga/naruto/,0
naruto-gaiden-la-spirale-au-coeur-du-tourbillon,https://anime-sama.me/manga/naruto-gaiden-la-spirale-au-coeur-du-tourbillon/,0
omniscient-readers-viewpoint,https://anime-sama.me/manga/omniscient-readers-viewpoint/,0
one-piece,https://anime-sama.me/manga/one-piece/,0
one-punch-man,https://anime-sama.me/manga/one-punch-man/,0
oshi-no-ko,https://anime-sama.me/manga/oshi-no-ko/,0
perfect-crime,https://anime-sama.me/manga/perfect-crime/,0
rent-a-girlfriend,https://anime-sama.me/manga/rent-a-girlfriend/,0
sakamoto-days,https://anime-sama.me/manga/sakamoto-days/,0
shingeki-no-kyojin,https://anime-sama.me/manga/shingeki-no-kyojin/,0
skeleton-soldier-couldnt-protect-the-dungeon,https://anime-sama.me/manga/skeleton-soldier-couldnt-protect-the-dungeon/,0
solo-leveling,https://anime-sama.me/manga/solo-leveling/,0
sousou-no-frieren,https://anime-sama.me/manga/sousou-no-frieren/,0
spy-x-family,https://anime-sama.me/manga/spy-x-family/,0
tales-of-demons-and-gods,https://anime-sama.me/manga/tales-of-demons-and-gods/,0
teenage-mercenary,https://anime-sama.me/manga/teenage-mercenary/,0
tensei-shitara-slime-datta-ken,https://anime-sama.me/manga/tensei-shitara-slime-datta-ken/,0
the-archmage-returns-after-4000-years,https://anime-sama.me/manga/the-archmage-returns-after-4000-years/,0
the-beginning-after-the-end,https://anime-sama.me/manga/the-beginning-after-the-end/,0
the-greatest-estate-developer,https://anime-sama.me/manga/the-greatest-estate-developer/,0
the-newbie-is-too-strong,https://anime-sama.me/manga/the-newbie-is-too-strong/,0
the-returns-of-the-mount-hua-sect,https://anime-sama.me/manga/the-returns-of-the-mount-hua-sect/,0
the-swordmasters-son,https://anime-sama.me/manga/the-swordmasters-son/,0
tomodachi-game,https://anime-sama.me/manga/tomodachi-game/,0
toukyou%e5%8d%8drevengers,https://anime-sama.me/manga/toukyou%e5%8d%8drevengers/,0
tower-of-god,https://anime-sama.me/manga/tower-of-god/,0
undead-unluck,https://anime-sama.me/manga/undead-unluck/,0
vagabond,https://anime-sama.me/manga/vagabond/,0
valkyrie-apocalypse,https://anime-sama.me/manga/valkyrie-apocalypse/,0
villain-to-kill,https://anime-sama.me/manga/villain-to-kill/,0
vinland-saga,https://anime-sama.me/manga/vinland-saga/,0
wind-breaker-nii-satoru,https://anime-sama.me/manga/wind-breaker-nii-satoru/,0
world-trigger,https://anime-sama.me/manga/world-trigger/,0
yofukashi-no-uta,https://anime-sama.me/manga/yofukashi-no-uta/,0
