Website,MangaName,Chapter,ChapterLink
fmteam,batuque,chapitre 129,https://fmteam.fr/api/download/batuque/fr/ch/129
fmteam,batuque,chapitre 128,https://fmteam.fr/api/download/batuque/fr/ch/128
fmteam,batuque,chapitre 127,https://fmteam.fr/api/download/batuque/fr/ch/127
fmteam,batuque,chapitre 126,https://fmteam.fr/api/download/batuque/fr/ch/126
fmteam,batuque,chapitre 125,https://fmteam.fr/api/download/batuque/fr/ch/125
fmteam,batuque,chapitre 124,https://fmteam.fr/api/download/batuque/fr/ch/124
fmteam,batuque,chapitre 123,https://fmteam.fr/api/download/batuque/fr/ch/123
fmteam,batuque,chapitre 122,https://fmteam.fr/api/download/batuque/fr/ch/122
fmteam,batuque,chapitre 121,https://fmteam.fr/api/download/batuque/fr/ch/121
fmteam,batuque,chapitre 120,https://fmteam.fr/api/download/batuque/fr/ch/120
fmteam,batuque,chapitre 119,https://fmteam.fr/api/download/batuque/fr/ch/119
fmteam,batuque,chapitre 118,https://fmteam.fr/api/download/batuque/fr/ch/118
fmteam,batuque,chapitre 117,https://fmteam.fr/api/download/batuque/fr/ch/117
fmteam,batuque,chapitre 116,https://fmteam.fr/api/download/batuque/fr/ch/116
fmteam,batuque,chapitre 115,https://fmteam.fr/api/download/batuque/fr/ch/115
fmteam,batuque,chapitre 114,https://fmteam.fr/api/download/batuque/fr/ch/114
fmteam,batuque,chapitre 113,https://fmteam.fr/api/download/batuque/fr/ch/113
fmteam,batuque,chapitre 112,https://fmteam.fr/api/download/batuque/fr/ch/112
fmteam,batuque,chapitre 111,https://fmteam.fr/api/download/batuque/fr/ch/111
fmteam,batuque,chapitre 110,https://fmteam.fr/api/download/batuque/fr/ch/110
fmteam,batuque,chapitre 109,https://fmteam.fr/api/download/batuque/fr/ch/109
fmteam,batuque,chapitre 108,https://fmteam.fr/api/download/batuque/fr/ch/108
fmteam,batuque,chapitre 107,https://fmteam.fr/api/download/batuque/fr/ch/107
fmteam,batuque,chapitre 106,https://fmteam.fr/api/download/batuque/fr/ch/106
fmteam,batuque,chapitre 105,https://fmteam.fr/api/download/batuque/fr/ch/105
fmteam,batuque,chapitre 104,https://fmteam.fr/api/download/batuque/fr/ch/104
fmteam,batuque,chapitre 103,https://fmteam.fr/api/download/batuque/fr/ch/103
fmteam,batuque,chapitre 102,https://fmteam.fr/api/download/batuque/fr/ch/102
fmteam,batuque,chapitre 101,https://fmteam.fr/api/download/batuque/fr/ch/101
fmteam,batuque,chapitre 100,https://fmteam.fr/api/download/batuque/fr/ch/100
