MangaName,MangaLink,n_chapter
batuque,https://fmteam.fr/comics/batuque,129
berserk,https://fmteam.fr/comics/berserk,3
blue-lock,https://fmteam.fr/comics/blue-lock,3
blue-lock-episode-nagi,https://fmteam.fr/comics/blue-lock-episode-nagi,3
bouncer,https://fmteam.fr/comics/bouncer,86
catechism,https://fmteam.fr/comics/catechism,6
choujin-x,https://fmteam.fr/comics/choujin-x,5
dgray-man,https://fmteam.fr/comics/dgray-man,3
dai-dark,https://fmteam.fr/comics/dai-dark,3
dandadan,https://fmteam.fr/comics/dandadan,3
dr-stone-4d-science,https://fmteam.fr/comics/dr-stone-4d-science,3
eyeshield-21,https://fmteam.fr/comics/eyeshield-21,1
haikyu-2,https://fmteam.fr/comics/haikyu-2,1
hajime-no-ippo,https://fmteam.fr/comics/hajime-no-ippo,3
kamen-byoto,https://fmteam.fr/comics/kamen-byoto,11
kingdom,https://fmteam.fr/comics/kingdom,3
out,https://fmteam.fr/comics/out,3
one-punch-man,https://fmteam.fr/comics/one-punch-man,3
real,https://fmteam.fr/comics/real,3
the-fable-the-second-contact,https://fmteam.fr/comics/the-fable-the-second-contact,86
the-pool,https://fmteam.fr/comics/the-pool,3
vinland-saga,https://fmteam.fr/comics/vinland-saga,3
yomi-no-tsugai,https://fmteam.fr/comics/yomi-no-tsugai,3
yomotsuhegui,https://fmteam.fr/comics/yomotsuhegui,21
