MangaName,MangaLink,n_chapter
a-returners-magic-should-be-special,https://www.lelmanga.com/manga/a-returners-magic-should-be-special,1
ao-no-miburo,https://www.lelmanga.com/manga/ao-no-miburo,14
berserk,https://www.lelmanga.com/manga/berserk,15
black-clover,https://www.lelmanga.com/manga/black-clover,82
blue-lock,https://www.lelmanga.com/manga/blue-lock,29
boruto,https://www.lelmanga.com/manga/boruto,27
boruto-two-blue-vortex,https://www.lelmanga.com/manga/boruto-two-blue-vortex,11
burning-kabaddi,https://www.lelmanga.com/manga/burning-kabaddi,40
chainsaw-man,https://www.lelmanga.com/manga/chainsaw-man,89
choujin-x,https://www.lelmanga.com/manga/choujin-x,68
d-gray-man,https://www.lelmanga.com/manga/d-gray-man,8
dandadan,https://www.lelmanga.com/manga/dandadan,150
doron-dororon,https://www.lelmanga.com/manga/doron-dororon,32
dr-stone,https://www.lelmanga.com/manga/dr-stone,65
dragon-ball-super,https://www.lelmanga.com/manga/dragon-ball-super,102
edens-zero,https://www.lelmanga.com/manga/edens-zero,141
evil-heroes,https://www.lelmanga.com/manga/evil-heroes,17
fairy-tail-100-years-quest,https://www.lelmanga.com/manga/fairy-tail-100-years-quest,80
feng-shen-ji,https://www.lelmanga.com/manga/feng-shen-ji,7
four-knights-of-the-apocalypse,https://www.lelmanga.com/manga/four-knights-of-the-apocalypse,151
gachi-akuta,https://www.lelmanga.com/manga/gachi-akuta,94
haikyuu,https://www.lelmanga.com/manga/haikyuu,86
hunter-x-hunter,https://www.lelmanga.com/manga/hunter-x-hunter,21
i-am-the-sorcerer-king,https://www.lelmanga.com/manga/i-am-the-sorcerer-king,22
jujutsu-kaisen,https://www.lelmanga.com/manga/jujutsu-kaisen,265
kagura-bachi,https://www.lelmanga.com/manga/kagura-bachi,33
kaiju-no-8,https://www.lelmanga.com/manga/kaiju-no-8,113
kimetsu-no-yaiba,https://www.lelmanga.com/manga/kimetsu-no-yaiba,7
kingdom,https://www.lelmanga.com/manga/kingdom,128
kurogane-no-valhallian,https://www.lelmanga.com/manga/kurogane-no-valhallian,38
leveling-up-alone,https://www.lelmanga.com/manga/leveling-up-alone,43
mamayuyu,https://www.lelmanga.com/manga/mamayuyu,25
marriage-toxin,https://www.lelmanga.com/manga/marriage-toxin,56
martial-peak,https://www.lelmanga.com/manga/martial-peak,354
mashle-magic-and-muscles,https://www.lelmanga.com/manga/mashle-magic-and-muscles,101
max-level-returner,https://www.lelmanga.com/manga/max-level-returner,20
my-hero-academia,https://www.lelmanga.com/manga/my-hero-academia,231
nanatsu-no-taizai,https://www.lelmanga.com/manga/nanatsu-no-taizai,81
nano-machine,https://www.lelmanga.com/manga/nano-machine,102
one-piece,https://www.lelmanga.com/manga/one-piece,116
one-piece-aces-story,https://www.lelmanga.com/manga/one-piece-aces-story,4
one-punch-man,https://www.lelmanga.com/manga/one-punch-man,68
player-reborn,https://www.lelmanga.com/manga/player-reborn,64
sakamoto-days,https://www.lelmanga.com/manga/sakamoto-days,173
samurai-8-hachimaruden,https://www.lelmanga.com/manga/samurai-8-hachimaruden,44
sawako,https://www.lelmanga.com/manga/sawako,38
shingeki-no-kyojin,https://www.lelmanga.com/manga/shingeki-no-kyojin,19
shuumatsu-no-valkyrie,https://www.lelmanga.com/manga/shuumatsu-no-valkyrie,100
shuumatsu-no-valkyrie-kitan-jack-the-ripper-no-jikenbo,https://www.lelmanga.com/manga/shuumatsu-no-valkyrie-kitan-jack-the-ripper-no-jikenbo,25
solo-auto-hunting,https://www.lelmanga.com/manga/solo-auto-hunting,11
solo-leveling,https://www.lelmanga.com/manga/solo-leveling,56
star-martial-god-technique,https://www.lelmanga.com/manga/star-martial-god-technique,0
tales-of-demons-and-gods,https://www.lelmanga.com/manga/tales-of-demons-and-gods,2
tensei-shitara-slime-datta-ken,https://www.lelmanga.com/manga/tensei-shitara-slime-datta-ken,19
the-gamer,https://www.lelmanga.com/manga/the-gamer,0
the-god-of-high-school,https://www.lelmanga.com/manga/the-god-of-high-school,18
the-legendary-moonlight-sculptor,https://www.lelmanga.com/manga/the-legendary-moonlight-sculptor,20
the-pool,https://www.lelmanga.com/manga/the-pool,3
the-promised-neverland,https://www.lelmanga.com/manga/the-promised-neverland,7
the-second-coming-of-gluttony,https://www.lelmanga.com/manga/the-second-coming-of-gluttony,24
tokyo-revengers,https://www.lelmanga.com/manga/tokyo-revengers,277
tower-of-god,https://www.lelmanga.com/manga/tower-of-god,31
vinland-saga,https://www.lelmanga.com/manga/vinland-saga,122
wind-breaker,https://www.lelmanga.com/manga/wind-breaker,80
yomi-no-tsugai,https://www.lelmanga.com/manga/yomi-no-tsugai,16
yomotsuhegui-le-fruit-du-royaume-des-morts,https://www.lelmanga.com/manga/yomotsuhegui-le-fruit-du-royaume-des-morts,17
