MangaName,MangaLink,n_chapter
assassination-classroom,https://lelscans.net/lecture-ligne-assassination-classroom.php,41
beelzebub,https://lelscans.net/lecture-en-ligne-beelzebub.php,51
black-clover,https://lelscans.net/lecture-en-ligne-black-clover.php,352
bleach,https://lelscans.net/lecture-ligne-bleach.php,184
blue-lock,https://lelscans.net/lecture-en-ligne-blue-lock,265
boruto,https://lelscans.net/lecture-en-ligne-boruto.php,75
d-gray-man,https://lelscans.net/lecture-ligne-d-gray-man.php,34
dr-stone,https://lelscans.net/lecture-ligne-dr-stone.php,222
dragon-ball-super,https://lelscans.net/lecture-ligne-dragon-ball-super.php,89
fairy-tail,https://lelscans.net/lecture-ligne-fairy-tail.php,246
fire-force,https://lelscans.net/lecture-en-ligne-fire-force,250
four-knights-of-the-apocalypse,https://lelscans.net/lecture-en-ligne-four-knights-of-the-apocalypse.php,89
gantz,https://lelscans.net/lecture-en-ligne-gantz.php,9
gintama,https://lelscans.net/lecture-ligne-gintama.php,192
hajime-no-ippo,https://lelscans.net/lecture-en-ligne-hajime-no-ippo,423
hunter-x-hunter,https://lelscans.net/lecture-ligne-hunter-x-hunter.php,61
jujutsu-kaisen,https://lelscans.net/lecture-en-ligne-jujutsu-kaisen.php,65
kaiju-no-8,https://lelscans.net/lecture-ligne-kaiju-no-8.php,44
kingdom,https://lelscans.net/lecture-en-ligne-kingdom.php,222
magi,https://lelscans.net/lecture-en-ligne-magi.php,138
my-hero-academia,https://lelscans.net/lecture-ligne-my-hero-academia.php,335
naruto,https://lelscans.net/lecture-ligne-naruto.php,102
naruto-gaiden,https://lelscans.net/lecture-ligne-naruto-gaiden.php,11
one-piece,https://lelscans.net/lecture-en-ligne-one-piece,443
one-punch-man,https://lelscans.net/lecture-ligne-one-punch-man.php,166
shingeki-no-kyojin,https://lelscans.net/lecture-ligne-shingeki-no-kyojin.php,95
solo-leveling,https://lelscans.net/lecture-en-ligne-solo-leveling,179
soul-eater,https://lelscans.net/lecture-en-ligne-soul-eater.php,21
the-breaker-new-waves,https://lelscans.net/lecture-en-ligne-the-breaker-new-waves.php,102
the-seven-deadly-sins,https://lelscans.net/lecture-ligne-the-seven-deadly-sins.php,197
tokyo-ghoul-re,https://lelscans.net/lecture-ligne-tokyo-ghoul-re.php,148
tokyo-revengers,https://lelscans.net/lecture-en-ligne-tokyo-revengers.php,278
tokyo-shinobi-squad,https://lelscans.net/lecture-ligne-tokyo-shinobi-squad.php,27
toriko,https://lelscans.net/lecture-ligne-toriko.php,176
