NomSite,NomManga,Chapitres,ChapterLink
mangamoins,astro-royale,chapitre 01,https://mangamoins.shaeishu.co/download?scan=AR01
mangamoins,"spy-x-family,-extra-mission",chapitre 13,https://mangamoins.shaeishu.co/download?scan=SXFEM13
mangamoins,my-hero-academia,chapitre 420,https://mangamoins.shaeishu.co/download?scan=MHA420
mangamoins,"spy-x-family,-extra-mission",chapitre 12,https://mangamoins.shaeishu.co/download?scan=SXFEM12
mangamoins,spy-x-family,chapitre 96,https://mangamoins.shaeishu.co/download?scan=SXF96
mangamoins,spy-x-family,chapitre 95,https://mangamoins.shaeishu.co/download?scan=SXF95
mangamoins,spy-x-family,chapitre 94,https://mangamoins.shaeishu.co/download?scan=SXF94
mangamoins,spy-x-family,chapitre 93,https://mangamoins.shaeishu.co/download?scan=SXF93
mangamoins,spy-x-family,chapitre 92,https://mangamoins.shaeishu.co/download?scan=SXF92
mangamoins,spy-x-family,chapitre 91,https://mangamoins.shaeishu.co/download?scan=SXF91
mangamoins,"spy-x-family,-extra-mission",chapitre 11,https://mangamoins.shaeishu.co/download?scan=SXFEM11
mangamoins,spy-x-family,chapitre 90,https://mangamoins.shaeishu.co/download?scan=SXF90
mangamoins,spy-x-family,chapitre 89,https://mangamoins.shaeishu.co/download?scan=SXF89
mangamoins,spy-x-family,chapitre 88,https://mangamoins.shaeishu.co/download?scan=SXF88
mangamoins,spy-x-family,chapitre 87,https://mangamoins.shaeishu.co/download?scan=SXF87
mangamoins,spy-x-family,chapitre 86,https://mangamoins.shaeishu.co/download?scan=SXF86
mangamoins,spy-x-family,chapitre 85,https://mangamoins.shaeishu.co/download?scan=SXF85
mangamoins,spy-x-family,chapitre 84,https://mangamoins.shaeishu.co/download?scan=SXF84
mangamoins,spy-x-family,chapitre 83,https://mangamoins.shaeishu.co/download?scan=SXF83
mangamoins,spy-x-family,chapitre 82,https://mangamoins.shaeishu.co/download?scan=SXF82
mangamoins,spy-x-family,chapitre 81,https://mangamoins.shaeishu.co/download?scan=SXF81
mangamoins,spy-x-family,chapitre 80,https://mangamoins.shaeishu.co/download?scan=SXF80
mangamoins,spy-x-family,chapitre 79,https://mangamoins.shaeishu.co/download?scan=SXF79
mangamoins,"spy-x-family,-extra-mission",chapitre 10,https://mangamoins.shaeishu.co/download?scan=SXFEM10
mangamoins,spy-x-family,chapitre 78,https://mangamoins.shaeishu.co/download?scan=SXF78
mangamoins,spy-x-family,chapitre 77,https://mangamoins.shaeishu.co/download?scan=SXF77
mangamoins,spy-x-family,chapitre 76,https://mangamoins.shaeishu.co/download?scan=SXF76
mangamoins,jujutsu-kaisen,chapitre 256,https://mangamoins.shaeishu.co/download?scan=JK256
mangamoins,my-hero-academia,chapitre 419,https://mangamoins.shaeishu.co/download?scan=MHA419
mangamoins,one-piece-(version-finale),chapitre 1098,https://mangamoins.shaeishu.co/download?scan=OP(F1098
mangamoins,my-hero-academia,chapitre 418,https://mangamoins.shaeishu.co/download?scan=MHA418
mangamoins,jujutsu-kaisen,chapitre 255,https://mangamoins.shaeishu.co/download?scan=JK255
mangamoins,jujutsu-kaisen,chapitre 254,https://mangamoins.shaeishu.co/download?scan=JK254
mangamoins,one-piece,chapitre 1111,https://mangamoins.shaeishu.co/download?scan=OP1111
