MangaName,MangaLink
weak-teacher,https://www.mangasaki.org/manga/weak-teacher
nenrei-seigentsuki-otome-game-no-akuyaku-reijou-desu-ga-katabutsu-kishi-sama-ga-yuushuu-sugite,https://www.mangasaki.org/manga/nenrei-seigentsuki-otome-game-no-akuyaku-reijou-desu-ga-katabutsu-kishi-sama-ga-yuushuu-sugite
hybrid,https://www.mangasaki.org/manga/hybrid
dungeon-kills-all-adventurers,https://www.mangasaki.org/manga/dungeon-kills-all-adventurers
boruto-two-blue-vortex,https://www.mangasaki.org/manga/boruto-two-blue-vortex
boundless-necromancer,https://www.mangasaki.org/manga/boundless-necromancer
superhuman-era,https://www.mangasaki.org/manga/superhuman-era
ore-wa-subete-wo-%E2%80%9Cparry%E2%80%9D-suru,https://www.mangasaki.org/manga/ore-wa-subete-wo-%E2%80%9Cparry%E2%80%9D-suru
hero-rebellion-use-your-skills-control-mind-and-body-maddened-princess,https://www.mangasaki.org/manga/hero-rebellion-use-your-skills-control-mind-and-body-maddened-princess
crown-prince-sells-medicine,https://www.mangasaki.org/manga/crown-prince-sells-medicine
arcane-sniper,https://www.mangasaki.org/manga/arcane-sniper
yuusha-yobareta-nochi-ni-%E2%80%93-soshite-musou-otoko-wa-kazoku-wo-tsukuru,https://www.mangasaki.org/manga/yuusha-yobareta-nochi-ni-%E2%80%93-soshite-musou-otoko-wa-kazoku-wo-tsukuru
im-not-regressor,https://www.mangasaki.org/manga/im-not-regressor
nito-no-taidana-isekai-shoukougun-saijaku-shoku-%E2%80%9Chealer%E2%80%9D-nano-ni-saikyou-wa-cheat-desu-ka,https://www.mangasaki.org/manga/nito-no-taidana-isekai-shoukougun-saijaku-shoku-%E2%80%9Chealer%E2%80%9D-nano-ni-saikyou-wa-cheat-desu-ka
damn-reincarnation,https://www.mangasaki.org/manga/damn-reincarnation
genius-assassin-who-takes-it-all,https://www.mangasaki.org/manga/genius-assassin-who-takes-it-all
undead-unluck-0,https://www.mangasaki.org/manga/undead-unluck-0
chronicles-martial-god%E2%80%99s-return,https://www.mangasaki.org/manga/chronicles-martial-god%E2%80%99s-return
level-1-kara-hajimaru-shoukan-musou,https://www.mangasaki.org/manga/level-1-kara-hajimaru-shoukan-musou
rank-party-wo-ridatsu-shita-ore-wa-moto-oshiego-tachi-meikyuu-shinbu-wo-mezasu,https://www.mangasaki.org/manga/rank-party-wo-ridatsu-shita-ore-wa-moto-oshiego-tachi-meikyuu-shinbu-wo-mezasu
nine-heavens-swordmaster,https://www.mangasaki.org/manga/nine-heavens-swordmaster
7th-demon-prince-jilbagias-demon-kingdom-destroyer,https://www.mangasaki.org/manga/7th-demon-prince-jilbagias-demon-kingdom-destroyer
goblin%E2%80%99s-night,https://www.mangasaki.org/manga/goblin%E2%80%99s-night
max-level-player%E2%80%99s-100th-regression,https://www.mangasaki.org/manga/max-level-player%E2%80%99s-100th-regression
martial-god-regressed-level-2-0,https://www.mangasaki.org/manga/martial-god-regressed-level-2-0
martial-god-regressed-level-2,https://www.mangasaki.org/manga/martial-god-regressed-level-2
sss-rank-dungeon-de-knife-ippon-tewatasare-tsuihou-sareta-shiro-madoushi-yggdrasil-no-noroi-ni,https://www.mangasaki.org/manga/sss-rank-dungeon-de-knife-ippon-tewatasare-tsuihou-sareta-shiro-madoushi-yggdrasil-no-noroi-ni
greatest-estate-developer,https://www.mangasaki.org/manga/greatest-estate-developer
shotgun-boy,https://www.mangasaki.org/manga/shotgun-boy
white-mage-who-was-banished-heros-party,https://www.mangasaki.org/manga/white-mage-who-was-banished-heros-party
reformation-deadbeat-noble,https://www.mangasaki.org/manga/reformation-deadbeat-noble
two-ice,https://www.mangasaki.org/manga/two-ice
kagura-bachi,https://www.mangasaki.org/manga/kagura-bachi
