MangaName,MangaLink,n_chapter
ace-novel-manga-adaptation,https://tcbscans.com/mangas/1/ace-novel-manga-adaptation,4
attack-on-titan,https://tcbscans.com/mangas/8/attack-on-titan,141
black-clover,https://tcbscans.com/mangas/3/black-clover,372
black-clover-gaiden-quartet-knights,https://tcbscans.com/mangas/24/black-clover-gaiden-quartet-knights,41
bleach,https://tcbscans.com/mangas/2/bleach,698
build-king,https://tcbscans.com/mangas/9/build-king,5
chainsaw-man,https://tcbscans.com/mangas/13/chainsaw-man,179
demon-slayer-kimetsu-no-yaiba,https://tcbscans.com/mangas/19/demon-slayer-kimetsu-no-yaiba,205
haikyu-special,https://tcbscans.com/mangas/11/haikyu-special,3
hunter-x-hunter,https://tcbscans.com/mangas/15/hunter-x-hunter,403
jujutsu-kaisen,https://tcbscans.com/mangas/4/jujutsu-kaisen,276
my-hero-academia,https://tcbscans.com/mangas/6/my-hero-academia,430
my-hero-academia-one-shot-you-re-next,https://tcbscans.com/mangas/25/my-hero-academia-one-shot-you-re-next,1
one-piece,https://tcbscans.com/mangas/5/one-piece,1134
one-piece-nami-vs-kalifa-by-boichi,https://tcbscans.com/mangas/12/one-piece-nami-vs-kalifa-by-boichi,1
one-punch-man,https://tcbscans.com/mangas/10/one-punch-man,4
spy-x-family,https://tcbscans.com/mangas/23/spy-x-family,91
